word,meaning,example_sentence,category
Hallo,Hello,Hallo wie geht es dir?,Greetings
Guten Morgen,Good morning,Guten Morgen! Hast du gut geschlafen?,Greetings
Tschüss,Goodbye,Tschüss bis morgen!,Greetings
Danke,Thank you,Danke schön für deine Hilfe!,Basic Phrases
Bitte,Please/You are welcome,Bitte sehr! Gern geschehen.,Basic Phrases
Ja,Yes,Ja das ist richtig.,Basic Phrases
Nein,No,Nein das möchte ich nicht.,Basic Phrases
Essen,Food/To eat,Das Essen schmeckt gut.,Food & Drink
Trinken,To drink,Ich möchte Wasser trinken.,Food & Drink
Wetter,Weather,Wie ist das Wetter heute?,Weather
